"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2015-11-19","107.36","107.73","105.95","106.26","25520599.0","56.08136","56.82548","55.30817","56.07099","98.3167","87.90547","106.248","101.42504"
"FB","2015-11-18","105.8","107.88","105.39","107.77","23836526.0","56.02322","56.76777","55.25075","56.01409","98.0311","87.75225","106.17263","101.10234"
"FB","2015-11-17","104.62","106.2","104.14","105.13","26774146.0","55.96672","56.70975","55.19384","55.95534","97.6845","87.59155","105.87875","100.70683"
"FB","2015-11-16","103.32","104.17","100.47","104.04","49309167.0","55.91144","56.65351","55.13822","55.89946","97.3725","87.4429","105.90296","100.40261"
"FB","2015-11-13","107.71","108.25","103.83","103.95","30278403.0","55.8575","56.59945","55.08665","55.84469","97.0569","87.29765","106.06117","100.12876"
"FB","2015-11-12","108.48","109.39","108.0","108.02","20924674.0","55.79844","56.54063","55.03113","55.7899","96.7409","87.15745","106.21596","99.84605"
"FB","2015-11-11","108.27","109.87","107.11","109.01","25057099.0","55.73837","56.48037","54.97074","55.73035","96.3783","87.00735","105.79242","99.38952"
"FB","2015-11-10","105.96","108.15","105.24","107.91","25031681.0","55.67841","56.41942","54.91122","55.66952","95.9427","86.8435","105.14596","98.87707"
"FB","2015-11-09","107.0","108.25","105.86","106.49","26383540.0","55.62094","56.3603","54.8537","55.60982","95.5731","86.68285","104.54608","98.39327"
"FB","2015-11-06","108.04","108.74","105.91","107.095","35084342.0","55.56216","56.30093","54.79534","55.55161","95.2635","86.53787","104.05688","97.95302"
"FB","2015-11-05","108.8","110.65","107.95","108.76","63232861.0","55.50204","56.24086","54.73679","55.49256","94.9162","86.39155","103.41242","97.47542"
"FB","2015-11-04","103.19","104.14","102.48","103.94","43469308.0","55.44092","56.17846","54.67576","55.43148","94.4848","86.236","102.45317","96.91561"
"FB","2015-11-03","103.22","103.65","102.4","102.58","21242341.0","55.3861","56.1234","54.62088","55.37578","94.066","86.1","102.01417","96.52839"
"FB","2015-11-02","102.46","103.47","101.18","103.31","24003944.0","55.33112","56.06877","54.56596","55.32153","93.6562","85.9683","101.67467","96.17844"
"FB","2015-10-30","104.51","104.72","101.65","101.97","33487104.0","55.27689","56.01422","54.51232","55.2663","93.3112","85.82765","101.1685","95.78633"
"FB","2015-10-29","103.96","105.12","103.52","104.88","20316691.0","55.22017","55.95811","54.45801","55.2125","93.083","85.68805","100.75708","95.43782"
"FB","2015-10-28","103.9","104.48","102.92","104.2","24081515.0","55.16395","55.90141","54.40142","55.15521","92.8916","85.54505","99.8785","94.96769"
"FB","2015-10-27","102.94","104.1","102.4","103.7","23795472.0","55.10767","55.84531","54.3454","55.09858","92.711","85.4063","98.98658","94.51714"
"FB","2015-10-26","102.2","103.81","101.55","103.77","25961212.0","55.05237","55.78953","54.28984","55.04239","92.5156","85.2714","98.06633","94.07853"
"FB","2015-10-23","101.91","102.85","100.16","102.19","42809661.0","54.9978","55.73395","54.23514","54.98599","92.3286","85.14125","97.056","93.62985"
"FB","2015-10-22","97.79","99.73","97.55","99.67","26392075.0","54.94345","55.67935","54.18193","54.9313","92.1534","85.02117","96.15883","93.23626"
"FB","2015-10-21","97.37","98.18","96.47","97.11","22003730.0","54.89374","55.62825","54.13162","54.87939","92.0438","84.90357","95.504","92.93719"
"FB","2015-10-20","98.73","99.59","96.56","97.0","30881777.0","54.84441","55.57883","54.08244","54.83035","91.974","84.79877","95.10767","92.73578"
"FB","2015-10-19","97.18","98.57","96.92","98.47","23729924.0","54.79338","55.52765","54.03305","54.78131","91.917","84.69972","94.639","92.53645"
"FB","2015-10-16","96.18","97.59","95.35","97.54","25412856.0","54.74403","55.47754","53.98313","54.73045","91.8336","84.59962","93.90942","92.2762"
"FB","2015-10-15","94.99","96.3","94.9","95.96","27557516.0","54.69574","55.42846","53.93491","54.68056","91.7852","84.50202","93.25633","92.05052"
"FB","2015-10-14","94.08","95.2","93.61","94.07","19253351.0","54.64872","55.38077","53.88711","54.63239","91.7948","84.41832","92.78783","91.88718"
"FB","2015-10-13","93.66","95.37","93.55","94.12","19480347.0","54.60266","55.33425","53.84071","54.58632","91.7946","84.34807","92.55475","91.79795"
"FB","2015-10-12","93.32","94.6","92.67","94.26","18449562.0","54.55697","55.28743","53.79426","54.54008","91.795","84.28135","92.30575","91.70677"
"FB","2015-10-09","92.9","93.74","92.239","93.24","20012911.0","54.51158","55.24139","53.74874","54.49357","91.79","84.2139","92.05","91.60991"
"FB","2015-10-08","91.89","93.22","90.47","92.47","27290523.0","54.46658","55.19626","53.70362","54.44815","91.8294","84.15075","91.93142","91.55459"
"FB","2015-10-07","93.11","93.66","91.37","92.4","24129277.0","54.42266","55.15163","53.66046","54.40352","91.9198","84.09565","91.92467","91.53301"
"FB","2015-10-06","94.08","94.17","92.34","92.8","22488275.0","54.3772","55.10638","53.61615","54.35887","91.9776","84.03305","91.93542","91.51645"
"FB","2015-10-05","92.94","94.27","92.66","94.01","27292517.0","54.33049","55.06042","53.5706","54.31364","92.005","83.96105","91.897","91.48527"
"FB","2015-10-02","88.9","92.2","88.37","92.07","37881652.0","54.28501","55.01424","53.52455","54.26689","92.0638","83.87155","91.69317","91.40895"
"FB","2015-10-01","90.05","90.95","88.36","90.95","29283652.0","54.24419","54.97039","53.48346","54.22231","92.1312","83.78465","91.73167","91.41135"
"FB","2015-09-30","88.44","90.02","88.01","89.73","35159225.0","54.20192","54.92791","53.44229","54.17895","92.253","83.71485","91.91875","91.46245"
"FB","2015-09-29","89.1","90.06","85.72","86.67","42281838.0","54.16145","54.88643","53.40143","54.13692","92.4262","83.65535","92.26425","91.56818"
"FB","2015-09-28","92.08","92.29","88.18","89.21","40914897.0","54.1201","54.84481","53.36318","54.09842","92.651","83.61065","93.01608","91.80273"
"FB","2015-09-25","95.79","95.85","92.06","92.77","28961622.0","54.07512","54.80044","53.32193","54.05682","92.7662","83.5455","93.4425","91.94219"
"FB","2015-09-24","93.06","94.765","92.24","94.41","29105964.0","54.02564","54.75174","53.27597","54.0109","92.7278","83.46585","93.38542","91.94053"
"FB","2015-09-23","93.4","94.32","92.8","93.97","21701427.0","53.97928","54.70422","53.2297","53.96292","92.6348","83.3764","93.08567","91.87092"
"FB","2015-09-22","93.77","94.68","91.92","92.96","36888893.0","53.93241","54.65712","53.18265","53.91535","92.549","83.28835","92.78475","91.81519"
"FB","2015-09-21","94.62","96.49","94.52","95.55","28789973.0","53.88498","54.60947","53.13653","53.86887","92.4918","83.19975","92.58067","91.79683"
